trade_date,displayed_theme_count,count_ge10,rank1_theme,rank1_limit_up_count,rank1_max_board_count,rank1_ladder_completeness,rank1_combined_score,rank2_theme,rank2_limit_up_count,rank2_max_board_count,rank2_ladder_completeness,rank2_combined_score,rank3_theme,rank3_limit_up_count,rank3_max_board_count,rank3_ladder_completeness,rank3_combined_score,rank4_theme,rank4_limit_up_count,rank4_max_board_count,rank4_ladder_completeness,rank4_combined_score,rank5_theme,rank5_limit_up_count,rank5_max_board_count,rank5_ladder_completeness,rank5_combined_score,prior_top1_fate,prior_top1_current_rank,current_top1_origin,top5_overlap_count,new_entry_count
2026-03-12,5,1,化工,10,2,1.0,0.8833333333,电力,8,4,0.75,0.85,储能,5,2,1.0,0.575,风电,7,1,1.0,0.575,智能电网,3,3,0.666667,0.3833333333,rank1_hold,1,prev_rank1,3,2
2026-03-13,5,0,化工,9,3,1.0,0.955,风电,8,2,1.0,0.825,电力,3,5,0.6,0.645,核电,5,1,1.0,0.63,热泵,4,1,1.0,0.545,rank1_hold,1,prev_rank1,3,2
2026-03-16,5,0,芯片,8,2,1.0,0.9333333333,通信,5,3,0.666667,0.725,化工,4,3,1.0,0.6833333333,海洋经济,4,1,1.0,0.4416666667,智能电网,2,3,0.666667,0.3916666667,remain_top5_lower,3,outside_prev_top5,1,4
2026-03-17,5,0,地产链,5,3,1.0,0.89375,次新股,4,3,1.0,0.78125,化工,5,4,0.75,0.775,光伏,3,2,1.0,0.5625,风电,3,2,1.0,0.50625,exit_top5,,outside_prev_top5,1,4
2026-03-18,5,1,算力,14,2,1.0,0.9,通信,7,2,1.0,0.85625,存储,5,2,1.0,0.725,电力,5,1,1.0,0.5125,智能电网,4,1,1.0,0.4375,exit_top5,,outside_prev_top5,0,5
2026-03-19,4,0,算力,6,2,1.0,0.9375,电力,5,2,1.0,0.725,风电,3,4,0.75,0.45,天然气,4,1,1.0,0.3875,,,,,,rank1_hold,1,prev_rank1,2,2
2026-03-20,5,0,电力,6,3,1.0,0.94,储能,6,1,1.0,0.63,地产链,3,5,0.4,0.56,风电,2,5,0.4,0.5,并购重组,2,3,0.666667,0.37,exit_top5,,prev_rank2_to_5,2,3
2026-03-23,4,0,电力,4,6,0.4,0.8625,光伏,3,2,1.0,0.6125,并购重组,3,4,0.5,0.5375,机器人概念,3,1,1.0,0.4875,,,,,,rank1_hold,1,prev_rank1,2,2
2026-03-24,5,1,电力,13,7,0.6,0.8884615385,光伏,6,3,1.0,0.85,锂电池,7,1,1.0,0.7230769231,智能电网,7,1,1.0,0.6807692308,芯片,4,2,1.0,0.6653846154,rank1_hold,1,prev_rank1,2,3
2026-03-25,5,3,电力,15,8,0.8,0.92,通信,14,2,1.0,0.855,算力,11,2,1.0,0.73,智能电网,3,2,1.0,0.54,基础建设,4,1,1.0,0.52,rank1_hold,1,prev_rank1,2,3
2026-03-26,5,0,电力,7,4,1.0,0.95,锂电池,5,3,1.0,0.8083333333,医药,4,4,0.75,0.6083333333,智能电网,4,3,0.666667,0.5,化工,3,2,1.0,0.3416666667,rank1_hold,1,prev_rank1,2,3
2026-03-27,5,3,锂电池,16,4,0.75,0.9,化工,11,3,0.666667,0.72,医药,10,5,0.6,0.72,电力,5,3,1.0,0.71,通信,4,2,1.0,0.58,remain_top5_lower,4,prev_rank2_to_5,4,1
2026-03-30,5,0,通信,7,3,1.0,0.8727272727,医药,7,6,0.6,0.8,商业航天,6,3,1.0,0.7909090909,金属铝,8,1,1.0,0.7363636364,农业,4,2,1.0,0.5545454545,exit_top5,,prev_rank2_to_5,2,3
