ts_code,name,is_initial_leader1,is_realized_episode_leader,themes,episode_ids,list_date,first_return_date,last_return_date,observed_return_days,compounded_ytd_return,partial_year,list_date_missing,compounded_ytd_return_pct
002317.SZ,众生药业,0,1,医药,EP000484,2009-12-11,2026-01-05,2026-08-31,160,0.3272306182,0,0,32.72306182
002322.SZ,理工能科,1,0,中报增长,EP000748,2009-12-18,2026-01-05,2026-08-31,160,0.0887919460,0,0,8.8791946
002323.SZ,雅博股份,1,1,光伏,EP000354,2009-12-18,2026-01-05,2026-08-31,159,-0.2134163718,0,0,-21.34163718
002324.SZ,普利特,0,1,脑机接口,EP000190,2009-12-18,2026-01-05,2026-08-31,160,-0.4089803534,0,0,-40.89803534
002328.SZ,新朋股份,1,1,储能,EP000425,2009-12-30,2026-01-05,2026-08-31,160,0.3018841897,0,0,30.18841897
002329.SZ,皇氏集团,1,1,食品饮料,EP000142;EP000640;EP000738,2010-01-06,2026-01-05,2026-08-31,160,0.0153846165,0,0,1.53846165
002345.SZ,潮宏基,0,1,黄金,EP000571,2010-01-28,2026-01-05,2026-08-31,160,-0.1927968678,0,0,-19.27968678
002346.SZ,柘中股份,0,1,智能电网,EP000649,2010-01-28,2026-01-05,2026-08-31,160,0.0281831678,0,0,2.81831678
002348.SZ,高乐股份,0,1,实控人变更,EP000113,2010-02-03,2026-01-05,2026-08-31,160,0.9547904862,0,0,95.47904862
002350.SZ,北京科锐,1,1,储能;智能电网;绿色电力,EP000309;EP000322;EP000663,2010-02-03,2026-01-05,2026-08-31,160,0.8453244549,0,0,84.53244549
002353.SZ,杰瑞股份,0,1,燃气轮机,EP000691,2010-02-05,2026-01-05,2026-08-31,160,0.8475952357,0,0,84.75952357
002354.SZ,天娱数科,1,1,AI应用;机器人概念;虚拟人,EP000554;EP000611;EP000710;EP000719,2010-02-09,2026-01-05,2026-08-31,160,0.2605954375,0,0,26.05954375
002356.SZ,赫美集团,0,1,氢能源,EP000070,2010-02-09,2026-01-05,2026-08-31,160,-0.2929267447,0,0,-29.29267447
002361.SZ,神剑股份,1,1,商业航天,EP000166;EP000266;EP000379;EP000717,2010-03-03,2026-01-05,2026-08-31,160,-0.2636016331,0,0,-26.36016331
002363.SZ,隆基机械,0,1,汽车零部件,EP000177,2010-03-05,2026-01-05,2026-08-31,160,-0.3049164880,0,0,-30.4916488
002364.SZ,中恒电气,0,1,电源,EP000493,2010-03-05,2026-01-05,2026-08-31,160,0.4614712067,0,0,46.14712067
002366.SZ,融发核电,0,1,核电,EP000781,2010-03-12,2026-01-05,2026-08-31,160,-0.1850857785,0,0,-18.50857785
002371.SZ,北方华创,1,0,芯片,EP000674,2010-03-16,2026-01-05,2026-08-31,160,0.5257061576,0,0,52.57061576
002374.SZ,中锐股份,0,1,酿酒,EP000042;EP000141,2010-03-18,2026-01-05,2026-08-31,160,-0.1361142766,0,0,-13.61142766
002378.SZ,章源钨业,0,1,有色金属,EP000301,2010-03-31,2026-01-05,2026-08-31,160,0.8124157685,0,0,81.24157685
002384.SZ,东山精密,1,1,消费电子,EP000426,2010-04-09,2026-01-05,2026-08-31,160,1.3390427587,0,0,133.90427587
002388.SZ,新亚制程,0,1,锂电池,EP000696,2010-04-13,2026-01-05,2026-08-31,159,0.0438884680,0,0,4.3888468
002395.SZ,双象股份,0,1,体育产业,EP000498,2010-04-29,2026-01-05,2026-08-31,160,-0.2445551367,0,0,-24.45551367
002396.SZ,星网锐捷,1,1,中报增长,EP000622,2010-06-23,2026-01-05,2026-08-31,160,0.7437247424,0,0,74.37247424
002407.SZ,多氟多,0,1,化工,EP000720,2010-05-18,2026-01-05,2026-08-31,160,0.0810208082,0,0,8.10208082
002408.SZ,齐翔腾达,1,1,化工,EP000411,2010-05-18,2026-01-05,2026-08-31,160,0.1413913946,0,0,14.13913946
002412.SZ,汉森制药,0,1,医药,EP000466,2010-05-25,2026-01-05,2026-08-31,160,0.9319312449,0,0,93.19312449
002418.SZ,康盛股份,0,1,三季报增长;算力,EP000001;EP000778,2010-06-01,2026-01-05,2026-08-31,160,0.1299813102,0,0,12.99813102
002421.SZ,达实智能,1,1,AI应用;人工智能;物理AI,EP000416;EP000507;EP000519;EP000547,2010-06-03,2026-01-05,2026-08-31,160,0.1754363002,0,0,17.54363002
002428.SZ,云南锗业,0,1,有色金属;芯片,EP000209;EP000374;EP000383,2010-06-08,2026-01-05,2026-08-31,160,2.1719494226,0,0,217.19494226
002431.SZ,棕榈股份,0,1,旅游,EP000024,2010-06-10,2026-01-05,2026-08-31,159,-0.4225939944,0,0,-42.25939944
002432.SZ,九安医疗,1,1,人工智能;医疗器械,EP000399;EP000665,2010-06-10,2026-01-05,2026-08-31,160,0.7913052000,0,0,79.13052
002445.SZ,中南文化,1,1,并购重组;电力,EP000327;EP000339,2010-07-13,2026-01-05,2026-08-31,145,0.3153919049,0,0,31.53919049
002451.SZ,摩恩电气,0,1,智能电网,EP000019;EP000056,2010-07-20,2026-01-05,2026-08-31,160,-0.2330474440,0,0,-23.3047444
002455.SZ,百川股份,1,1,化工,EP000251,2010-08-03,2026-01-05,2026-08-31,160,0.1143666793,0,0,11.43666793
002462.SZ,嘉事堂,0,1,医药,EP000187,2010-08-18,2026-01-05,2026-08-31,155,-0.1434409887,0,0,-14.34409887
002470.SZ,金正大,0,1,化工,EP000300,2010-09-08,2026-01-05,2026-08-31,160,0.1853955463,0,0,18.53955463
002471.SZ,中超控股,1,1,商业航天;燃气轮机,EP000139;EP000266,2010-09-10,2026-01-05,2026-08-31,160,-0.3179554347,0,0,-31.79554347
002474.SZ,榕基软件,0,1,人工智能,EP000065,2010-09-15,2026-01-05,2026-08-31,160,-0.3539509946,0,0,-35.39509946
002476.SZ,宝莫股份,0,1,化工,EP000752,2010-09-15,2026-01-05,2026-08-31,160,-0.2955832854,0,0,-29.55832854
002478.SZ,常宝股份,1,1,燃气轮机,EP000029;EP000310;EP000422,2010-09-21,2026-01-05,2026-08-31,160,-0.1586426815,0,0,-15.86426815
002490.SZ,山东墨龙,1,1,石油石化,EP000671,2010-10-21,2026-01-05,2026-08-31,160,0.2999957349,0,0,29.99957349
002491.SZ,通鼎互联,1,1,通信,EP000375;EP000465,2010-10-21,2026-01-05,2026-08-31,160,2.7033267701,0,0,270.33267701
002498.SZ,汉缆股份,0,1,智能电网,EP000293,2010-11-09,2026-01-05,2026-08-31,160,0.6592862482,0,0,65.92862482
002501.SZ,利源股份,0,1,金属铝,EP000389,2010-11-17,2026-01-05,2026-08-31,159,-0.4819228450,0,0,-48.1922845
002506.SZ,协鑫集成,0,1,储能;光伏,EP000264;EP000331;EP000495,2010-11-18,2026-01-05,2026-08-31,160,-0.0535732928,0,0,-5.35732928
002523.SZ,天桥起重,0,1,机器人概念,EP000161,2010-12-10,2026-01-05,2026-08-31,160,-0.1717043859,0,0,-17.17043859
002532.SZ,天山铝业,1,0,金属铝,EP000389,2010-12-31,2026-01-05,2026-08-31,160,-0.1472150154,0,0,-14.72150154
002536.SZ,飞龙股份,1,0,液冷;算力,EP000146;EP000770,2011-01-11,2026-01-05,2026-08-31,160,0.8609619918,0,0,86.09619918
002543.SZ,万和电气,1,0,热泵,EP000351,2011-01-28,2026-01-05,2026-08-31,160,-0.2475726073,0,0,-24.75726073
002552.SZ,宝鼎科技,0,1,通信,EP000506;EP000713,2011-02-25,2026-01-05,2026-08-31,160,2.1998536083,0,0,219.98536083
002560.SZ,通达股份,1,1,年报增长,EP000393,2011-03-03,2026-01-05,2026-08-31,160,-0.1320138216,0,0,-13.20138216
002574.SZ,明牌珠宝,1,1,黄金,EP000215,2011-04-22,2026-01-05,2026-08-31,160,-0.0925274808,0,0,-9.25274808
002578.SZ,闽发铝业,1,1,金属铝,EP000033,2011-04-28,2026-01-05,2026-08-31,160,-0.0824020385,0,0,-8.24020385
002579.SZ,中京电子,1,1,AI PC,EP000534,2011-05-06,2026-01-05,2026-08-31,160,0.2052527706,0,0,20.52527706
002580.SZ,圣阳股份,1,1,液冷;算力;锂电池,EP000406;EP000430;EP000598;EP000696,2011-05-06,2026-01-05,2026-08-31,160,0.7324784496,0,0,73.24784496
002585.SZ,双星新材,1,1,化工;电阻电容,EP000119;EP000228;EP000582,2011-06-02,2026-01-05,2026-08-31,160,0.4765925521,0,0,47.65925521
002591.SZ,恒大高新,1,0,锂电池,EP000034,2011-06-21,2026-01-05,2026-08-31,160,-0.1859562982,0,0,-18.59562982
002606.SZ,大连电瓷,0,1,智能电网,EP000517,2011-08-05,2026-01-05,2026-08-31,160,0.5139986528,0,0,51.39986528
002632.SZ,道明光学,1,1,端侧AI,EP000100,2011-11-22,2026-01-05,2026-08-31,160,-0.3079837156,0,0,-30.79837156
002634.SZ,棒杰股份,0,1,光伏,EP000384,2011-12-05,2026-01-05,2026-08-31,159,-0.2531014864,0,0,-25.31014864
002636.SZ,金安国纪,0,1,年报增长;通信,EP000041;EP000230,2011-11-25,2026-01-05,2026-08-31,160,3.5444043716,0,0,354.44043716
002639.SZ,雪人集团,1,1,可控核聚变;核电,EP000137;EP000614,2011-12-05,2026-01-05,2026-08-31,160,-0.3586068262,0,0,-35.86068262
002645.SZ,华宏科技,0,1,稀土永磁,EP000472;EP000525,2011-12-20,2026-01-05,2026-08-31,160,0.5962294939,0,0,59.62294939
002655.SZ,共达电声,0,1,金刚石概念,EP000723,2012-02-17,2026-01-05,2026-08-31,160,2.0338516081,0,0,203.38516081
